name,primary_muscle,secondary_muscles,equipment,category,level
Squats - With Bands,quadriceps,"calves, glutes, hamstrings, lower back",bands,strength,beginner
Stairmaster,quadriceps,"calves, glutes, hamstrings",machine,cardio,intermediate
Standing Alternating Dumbbell Press,shoulders,triceps,dumbbell,strength,beginner
Standing Barbell Calf Raise,calves,,barbell,strength,beginner
Standing Barbell Press Behind Neck,shoulders,triceps,barbell,strength,intermediate
Standing Bent-Over One-Arm Dumbbell Triceps Extension,triceps,shoulders,dumbbell,strength,beginner
Standing Bent-Over Two-Arm Dumbbell Triceps Extension,triceps,,dumbbell,strength,beginner
Standing Biceps Cable Curl,biceps,,cable,strength,beginner
Standing Biceps Stretch,biceps,"chest, shoulders",other,stretching,beginner
Standing Bradford Press,shoulders,triceps,barbell,strength,beginner
Standing Cable Chest Press,chest,"shoulders, triceps",cable,strength,beginner
Standing Cable Lift,abdominals,shoulders,cable,strength,beginner
Standing Cable Wood Chop,abdominals,shoulders,cable,strength,beginner
Standing Calf Raises,calves,,machine,strength,beginner
Standing Concentration Curl,biceps,forearms,dumbbell,strength,beginner
Standing Dumbbell Calf Raise,calves,,dumbbell,strength,intermediate
Standing Dumbbell Press,shoulders,triceps,dumbbell,strength,beginner
Standing Dumbbell Reverse Curl,biceps,forearms,dumbbell,strength,intermediate
Standing Dumbbell Straight-Arm Front Delt Raise Above Head,shoulders,,dumbbell,strength,intermediate
Standing Dumbbell Triceps Extension,triceps,,dumbbell,strength,beginner
Standing Dumbbell Upright Row,traps,"biceps, shoulders",dumbbell,strength,beginner
Standing Elevated Quad Stretch,quadriceps,,other,stretching,beginner
Standing Front Barbell Raise Over Head,shoulders,,barbell,strength,intermediate
Standing Gastrocnemius Calf Stretch,calves,hamstrings,,stretching,beginner
Standing Hamstring and Calf Stretch,hamstrings,,other,stretching,beginner
Standing Hip Circles,abductors,adductors,body only,stretching,beginner
Standing Hip Flexors,quadriceps,,,stretching,beginner
Standing Inner-Biceps Curl,biceps,,dumbbell,strength,intermediate
Standing Lateral Stretch,abdominals,,,stretching,beginner
Standing Leg Curl,hamstrings,,machine,strength,beginner
Standing Long Jump,quadriceps,"calves, glutes, hamstrings",body only,plyometrics,beginner
Standing Low-Pulley Deltoid Raise,shoulders,forearms,cable,strength,beginner
Standing Low-Pulley One-Arm Triceps Extension,triceps,"chest, shoulders",cable,strength,intermediate
Standing Military Press,shoulders,triceps,barbell,strength,beginner
Standing Olympic Plate Hand Squeeze,forearms,biceps,other,strength,beginner
Standing One-Arm Cable Curl,biceps,,cable,strength,intermediate
Standing One-Arm Dumbbell Curl Over Incline Bench,biceps,,dumbbell,strength,beginner
Standing One-Arm Dumbbell Triceps Extension,triceps,"chest, shoulders",dumbbell,strength,beginner
Standing Overhead Barbell Triceps Extension,triceps,shoulders,barbell,strength,beginner
Standing Palm-In One-Arm Dumbbell Press,shoulders,triceps,dumbbell,strength,beginner
Standing Palms-In Dumbbell Press,shoulders,triceps,dumbbell,strength,intermediate
Standing Palms-Up Barbell Behind The Back Wrist Curl,forearms,,barbell,strength,beginner
Standing Pelvic Tilt,lower back,glutes,,stretching,beginner
Standing Rope Crunch,abdominals,,cable,strength,beginner
Standing Soleus And Achilles Stretch,calves,,,stretching,beginner
Standing Toe Touches,hamstrings,calves,,stretching,beginner
Standing Towel Triceps Extension,triceps,,body only,strength,beginner
Standing Two-Arm Overhead Throw,shoulders,"chest, lats",medicine ball,plyometrics,beginner
Star Jump,quadriceps,"calves, glutes, hamstrings, shoulders",body only,plyometrics,beginner
Step-up with Knee Raise,glutes,"hamstrings, quadriceps",body only,strength,beginner
Step Mill,quadriceps,"calves, glutes, hamstrings",machine,cardio,intermediate
Stiff-Legged Barbell Deadlift,hamstrings,"glutes, lower back",barbell,strength,intermediate
Stiff-Legged Dumbbell Deadlift,hamstrings,"glutes, lower back",dumbbell,strength,beginner
Stiff Leg Barbell Good Morning,lower back,"glutes, hamstrings",barbell,strength,beginner
Stomach Vacuum,abdominals,,body only,stretching,beginner
Straight-Arm Dumbbell Pullover,chest,"lats, shoulders, triceps",dumbbell,strength,intermediate
Straight-Arm Pulldown,lats,,cable,strength,beginner
Straight Bar Bench Mid Rows,middle back,"biceps, lats",barbell,strength,beginner
Straight Raises on Incline Bench,shoulders,traps,barbell,strength,beginner
Stride Jump Crossover,quadriceps,"abductors, adductors, calves, hamstrings",other,plyometrics,beginner
Sumo Deadlift,hamstrings,"adductors, forearms, glutes, lower back, middle back, quadriceps, traps",barbell,powerlifting,intermediate
Sumo Deadlift with Bands,hamstrings,"adductors, forearms, glutes, lower back, middle back, quadriceps, traps",barbell,powerlifting,intermediate
Sumo Deadlift with Chains,hamstrings,"abductors, adductors, forearms, glutes, lower back, middle back, quadriceps, traps",barbell,powerlifting,intermediate
Superman,lower back,"glutes, hamstrings",body only,stretching,beginner
Supine Chest Throw,triceps,"chest, shoulders",medicine ball,plyometrics,beginner
Supine One-Arm Overhead Throw,abdominals,"chest, lats, shoulders",medicine ball,plyometrics,beginner
Supine Two-Arm Overhead Throw,abdominals,"chest, lats, shoulders",medicine ball,plyometrics,beginner
Suspended Fallout,abdominals,"chest, lower back, shoulders",other,strength,intermediate
Suspended Push-Up,chest,"shoulders, triceps",other,strength,beginner
Suspended Reverse Crunch,abdominals,,other,strength,beginner
Suspended Row,middle back,"biceps, lats",other,strength,beginner
Suspended Split Squat,quadriceps,"abductors, adductors, calves, glutes, hamstrings",other,strength,intermediate
Svend Press,chest,"forearms, shoulders, triceps",other,strength,beginner
T-Bar Row with Handle,middle back,"biceps, lats",barbell,strength,beginner
Tate Press,triceps,"chest, shoulders",dumbbell,strength,intermediate
The Straddle,hamstrings,"adductors, calves",,stretching,beginner
Thigh Abductor,abductors,glutes,machine,strength,beginner
Thigh Adductor,adductors,"glutes, hamstrings",machine,strength,beginner
Tire Flip,quadriceps,"calves, chest, forearms, glutes, hamstrings, lower back, shoulders, traps, triceps",other,strongman,intermediate
Toe Touchers,abdominals,,body only,stretching,beginner
Torso Rotation,abdominals,,exercise ball,stretching,beginner
Trail Running/Walking,quadriceps,"calves, glutes, hamstrings",,cardio,beginner
Trap Bar Deadlift,quadriceps,"glutes, hamstrings",other,strength,beginner
Tricep Dumbbell Kickback,triceps,,dumbbell,strength,beginner
Tricep Side Stretch,triceps,shoulders,,stretching,beginner
Triceps Overhead Extension with Rope,triceps,,cable,strength,beginner
Triceps Pushdown,triceps,,cable,strength,beginner
Triceps Pushdown - Rope Attachment,triceps,,cable,strength,beginner
Triceps Pushdown - V-Bar Attachment,triceps,,cable,strength,beginner
Triceps Stretch,triceps,lats,,stretching,beginner
Tuck Crunch,abdominals,,body only,strength,beginner
Two-Arm Dumbbell Preacher Curl,biceps,,dumbbell,strength,beginner
Two-Arm Kettlebell Clean,shoulders,"calves, glutes, hamstrings, lower back, traps",kettlebells,strength,intermediate
Two-Arm Kettlebell Jerk,shoulders,"calves, quadriceps, triceps",kettlebells,strength,intermediate
Two-Arm Kettlebell Military Press,shoulders,triceps,kettlebells,strength,intermediate
Two-Arm Kettlebell Row,middle back,"biceps, lats",kettlebells,strength,intermediate
Underhand Cable Pulldowns,lats,"biceps, middle back, shoulders",cable,strength,beginner
Upper Back-Leg Grab,hamstrings,"lower back, middle back",,stretching,beginner
Upper Back Stretch,middle back,middle back,,stretching,beginner
Upright Barbell Row,shoulders,traps,barbell,strength,beginner
Upright Cable Row,traps,shoulders,cable,strength,intermediate
Upright Row - With Bands,traps,shoulders,bands,strength,beginner
Upward Stretch,shoulders,"chest, lats",,stretching,beginner
V-Bar Pulldown,lats,"biceps, middle back, shoulders",cable,strength,intermediate
V-Bar Pullup,lats,"biceps, middle back, shoulders",body only,strength,beginner
Vertical Swing,hamstrings,"glutes, quadriceps, shoulders",dumbbell,plyometrics,beginner
"Walking, Treadmill",quadriceps,"calves, glutes, hamstrings",machine,cardio,beginner
Weighted Ball Hyperextension,lower back,"glutes, hamstrings, middle back",exercise ball,strength,intermediate
Weighted Ball Side Bend,abdominals,,exercise ball,strength,intermediate
Weighted Bench Dip,triceps,"chest, shoulders",other,strength,intermediate
Weighted Crunches,abdominals,,medicine ball,strength,beginner
Weighted Jump Squat,quadriceps,"calves, glutes, hamstrings, lower back",barbell,strength,intermediate
Weighted Pull Ups,lats,"biceps, middle back",other,strength,intermediate
Weighted Sissy Squat,quadriceps,"calves, glutes, hamstrings",barbell,strength,expert
Weighted Sit-Ups - With Bands,abdominals,,other,strength,intermediate
Weighted Squat,quadriceps,"calves, glutes, hamstrings",other,strength,intermediate
Wide-Grip Barbell Bench Press,chest,"shoulders, triceps",barbell,strength,intermediate
Wide-Grip Decline Barbell Bench Press,chest,"shoulders, triceps",barbell,strength,intermediate
Wide-Grip Decline Barbell Pullover,chest,"shoulders, triceps",barbell,strength,intermediate
Wide-Grip Lat Pulldown,lats,"biceps, middle back, shoulders",cable,strength,beginner
Wide-Grip Pulldown Behind The Neck,lats,"biceps, middle back, shoulders",cable,strength,intermediate
Wide-Grip Rear Pull-Up,lats,"biceps, middle back, shoulders",body only,strength,intermediate
Wide-Grip Standing Barbell Curl,biceps,,barbell,strength,beginner
Wide Stance Barbell Squat,quadriceps,"calves, glutes, hamstrings, lower back",barbell,strength,intermediate
Wide Stance Stiff Legs,hamstrings,"adductors, glutes, lower back",barbell,olympic weightlifting,intermediate
Wind Sprints,abdominals,,body only,strength,beginner
Windmills,abductors,"glutes, hamstrings, lower back",,stretching,intermediate
World's Greatest Stretch,hamstrings,"calves, glutes, quadriceps",,stretching,intermediate
Wrist Circles,forearms,,body only,stretching,beginner
Wrist Roller,forearms,shoulders,other,strength,beginner
Wrist Rotations with Straight Bar,forearms,,barbell,strength,beginner
Yoke Walk,quadriceps,"abdominals, abductors, adductors, calves, glutes, hamstrings, lower back",other,strongman,intermediate
Zercher Squats,quadriceps,"calves, glutes, hamstrings",barbell,strength,expert
Zottman Curl,biceps,forearms,dumbbell,strength,intermediate
Zottman Preacher Curl,biceps,forearms,dumbbell,strength,intermediate
